Absolute Time,Relative Time,Action
9:30:34,N/A,Experimenter Ready
9:30:35,N/A,Participant Ready
9:30:52,00:00:00,Procedure started.
9:30:54,00:00:02,P1: Please use a paper towel and spray bottle to clean the counter.
9:30:56,00:00:04,P2: Wash your hands with soap and water.
9:30:57,00:00:05,P3: Place the bag of supplies on the clean counter.
9:30:59,00:00:06,P4: Remove the gauze covering your fake wound.
9:30:59,00:00:07,P5: Gently wash the fake wound with soap and water.
9:31:00,00:00:08,P6: Great. Note that at home you will wash the wound in the shower. Let's continue.
9:31:04,00:00:12,P7: Remove a new gauze pad and the Telfa non-stick dressing from the supply bag.
9:31:11,00:00:19,P8: Pat the wound dry with the new gauze pad.
9:31:22,00:00:30,P9: Cut the Telfa non-stick dressing.
9:31:41,00:00:49,P10: Open the Vaseline.
9:31:51,00:00:59,"P11: Using two Q tips, spread a thick layer of Vaseline onto the wound."
9:32:04,00:01:12,P12: Cover the wound with the non-stick dressing and secure the dressing with tape.
9:32:26,00:01:33,P13: Please throw away the supply bag and any trash.
9:32:30,00:01:38,P14: All of the steps are complete. Thank you for your participation.
9:33:02,00:02:09,Procedure ended.
