Absolute Time,Relative Time,Action
1:18:52,N/A,Experimenter Ready
1:18:55,N/A,Participant Ready
1:19:02,00:00:00,Procedure started.
1:19:04,00:00:02,P1: Please use a paper towel and spray bottle to clean the counter.
1:19:17,00:00:16,P2: Wash your hands with soap and water.
1:19:25,00:00:23,P3: Place the bag of supplies on the clean counter.
1:19:32,00:00:31,P4: Remove the gauze covering your fake wound.
1:19:57,00:00:56,P5: Gently wash the fake wound with soap and water.
1:20:06,00:01:05,P6: Great. Note that at home you will wash the wound in the shower. Let's continue.
1:20:13,00:01:12,P7: Remove a new gauze pad and the Telfa non-stick dressing from the supply bag.
1:20:34,00:01:33,P8: Pat the wound dry with the new gauze pad.
1:20:49,00:01:47,P9: Cut the Telfa non-stick dressing.
1:20:55,00:01:53,P9: Cut the Telfa non-stick dressing.
1:21:17,00:02:16,P10: Open the Vaseline.
1:21:28,00:02:26,"P11: Using two Q tips, spread a thick layer of Vaseline onto the wound."
1:21:36,00:02:35,"P11: Using two Q tips, spread a thick layer of Vaseline onto the wound."
1:21:53,00:02:51,P12: Cover the wound with the non-stick dressing and secure the dressing with tape.
1:22:34,00:03:32,P12: Cover the wound with the non-stick dressing and secure the dressing with tape.
1:23:01,00:03:59,P13: Please throw away the supply bag and any trash.
1:23:27,00:04:25,P14: All of the steps are complete. Thank you for your participation.
1:23:34,00:04:32,Procedure ended.
