Absolute Time,Relative Time,Action
10:23:18,N/A,Experimenter Ready
10:23:20,N/A,Participant Ready
10:24:14,00:00:00,Procedure started.
10:24:16,00:00:02,P1: Please use a paper towel and spray bottle to clean the counter.
10:24:31,00:00:16,Reminder clicked.
10:24:34,00:00:19,P1Q: Unanswerable
10:25:03,00:00:48,P2: Wash your hands with soap and water.
10:25:45,00:01:30,P3: Place the bag of supplies on the clean counter.
10:26:02,00:01:47,P4: Take the towel and trash bag out of the supply bag and set them nearby.
10:26:11,00:01:57,P4: Take the towel and trash bag out of the supply bag and set them nearby.
10:26:34,00:02:20,"P5: At this point, you would enter the shower. Please remove the gauze and act out gentle washing of the pretend wound with soap and water."
10:26:47,00:02:32,"P5: At this point, you would enter the shower. Please remove the gauze and act out gentle washing of the pretend wound with soap and water."
10:27:24,00:03:10,P5Q: Unanswerable
10:27:56,00:03:41,"P5: At this point, you would enter the shower. Please remove the gauze and act out gentle washing of the pretend wound with soap and water."
10:28:13,00:03:59,P5Q: Unanswerable
10:28:24,00:04:10,P6: Dry the wound and your body with the towel.
10:28:43,00:04:29,P7: Pat the wound dry with gauze.
10:29:09,00:04:54,P8: Cut the non-stick dressing then open the Vaseline.
10:29:35,00:05:20,P8: Cut the non-stick dressing then open the Vaseline.
10:29:47,00:05:32,P8Q: Unanswerable
10:30:21,00:06:06,"P9: Using two Q tips, spread a thick layer of Vaseline onto the wound."
10:30:56,00:06:42,P10: Cover the wound with the non-stick dressing and secure the dressing with tape.
10:32:02,00:07:48,P11: All of the steps are complete. Thank you for your participation.
10:32:08,00:07:53,Procedure ended.
