Absolute Time,Relative Time,Action
11:03:14,N/A,Experimenter Ready
11:03:15,N/A,Participant Ready
11:03:18,00:00:00,Procedure started.
11:03:20,00:00:02,P1: Please use a paper towel and spray bottle to clean the counter.
11:03:47,00:00:30,P2: Wash your hands with soap and water.
11:04:20,00:01:03,P3: Place the bag of supplies on the clean counter.
11:04:26,00:01:08,P4: Take the towel and trash bag out of the supply bag and set them nearby.
11:04:50,00:01:32,"P5: At this point, you would enter the shower. Please remove the gauze and act out gentle washing of the pretend wound with soap and water."
11:05:01,00:01:43,"P5: At this point, you would enter the shower. Please remove the gauze and act out gentle washing of the pretend wound with soap and water."
11:05:45,00:02:27,P5Q: Unanswerable
11:05:57,00:02:39,P6: Dry the wound and your body with the towel.
11:06:09,00:02:51,P7: Pat the wound dry with gauze.
11:06:26,00:03:08,P8: Cut the non-stick dressing then open the Vaseline.
11:06:33,00:03:15,P8: Cut the non-stick dressing then open the Vaseline.
11:06:38,00:03:20,P8Q: Unanswerable
11:06:45,00:03:27,P8Q2: Which of the supplies is the nonstick dressing?
11:06:57,00:03:39,P8: Cut the non-stick dressing then open the Vaseline.
11:07:20,00:04:03,"P9: Using two Q tips, spread a thick layer of Vaseline onto the wound."
11:07:36,00:04:18,P9Q: Unanswerable
11:07:57,00:04:39,P9Q: Unanswerable
11:08:17,00:04:59,P10: Cover the wound with the non-stick dressing and secure the dressing with tape.
11:08:35,00:05:17,P10Q: Unanswerable
11:08:59,00:05:41,P8Q1: How should I cut the dressing?/What size do I cut the dressing?
11:09:43,00:06:25,P11: All of the steps are complete. Thank you for your participation.
11:09:48,00:06:30,Procedure ended.
